Date,AAPL,AMZN,GLD,GOOG,JNJ,JPM,META,MSFT,TSLA,XOM
2019-01-02,37.667171478271484,76.95649719238281,121.33000183105469,52.04598617553711,107.29633331298828,82.91624450683594,135.0435333251953,95.11980438232422,20.674667358398438,51.719871520996094
2019-01-03,33.915252685546875,75.01399993896484,122.43000030517578,50.563507080078125,105.59136962890625,81.7378158569336,131.12200927734375,91.62055206298828,20.02400016784668,50.925777435302734
2019-01-04,35.36307907104492,78.76950073242188,121.44000244140625,53.28312683105469,107.363525390625,84.75111389160156,137.30288696289062,95.88176727294922,21.179332733154297,52.80339431762695
2019-01-07,35.284358978271484,81.47550201416016,121.86000061035156,53.16767120361328,106.6748046875,84.81005096435547,137.4024200439453,96.00404357910156,22.33066749572754,53.07798385620117
2019-01-08,35.95698928833008,82.8290023803711,121.52999877929688,53.56031036376953,109.15250396728516,84.65011596679688,141.8614044189453,96.70013427734375,22.356666564941406,53.463905334472656
2019-01-09,36.567596435546875,82.97100067138672,122.30999755859375,53.47969436645508,108.28739929199219,84.50703430175781,143.5534210205078,98.0829086303711,22.568666458129883,53.74591064453125
2019-01-10,36.68448257446289,82.81099700927734,121.58999633789062,53.264217376708984,108.94253540039062,84.49861145019531,143.52357482910156,97.4526596069336,22.99799919128418,53.47132873535156
2019-01-11,36.32432174682617,82.02799987792969,121.80000305175781,52.610313415527344,108.97612762451172,84.09461212158203,143.12545776367188,96.70013427734375,23.150667190551758,53.22642517089844
2019-01-14,35.778106689453125,80.8604965209961,122.08999633789062,51.98826217651367,107.7414779663086,84.9615478515625,144.7080078125,95.9946517944336,22.293333053588867,53.159629821777344
2019-01-15,36.51035690307617,83.72799682617188,121.87999725341797,53.603607177734375,108.64856719970703,85.58441162109375,148.25128173828125,98.77899932861328,22.961999893188477,53.18931579589844
2019-01-16,36.956390380859375,84.18900299072266,122.2699966430664,53.793704986572266,107.5398941040039,86.27462005615234,146.847900390625,99.12702941894531,23.06999969482422,53.16704177856445
2019-01-17,37.17582321166992,84.66100311279297,122.11000061035156,54.238101959228516,108.42179107666016,86.62812042236328,147.60433959960938,99.82313537597656,23.15399932861328,53.53068542480469
2019-01-18,37.404808044433594,84.80999755859375,121.0199966430664,54.65413284301758,109.76561737060547,88.03376007080078,149.33616638183594,101.31879425048828,20.150667190551758,54.1689453125
2019-01-22,36.56521224975586,81.6084976196289,121.44999694824219,53.27367401123047,108.17823028564453,86.64495849609375,146.87777709960938,99.40924835205078,19.92799949645996,53.35258483886719
2019-01-23,36.713104248046875,82.0009994506836,121.27999877929688,53.524986267089844,108.17823028564453,86.42610931396484,143.6230926513672,100.37810516357422,19.172666549682617,52.91471481323242
2019-01-24,36.42210388183594,82.74649810791016,121.08999633789062,53.441871643066406,106.69161224365234,86.47661590576172,145.1459197998047,99.89838409423828,19.43400001525879,52.98893356323242
2019-01-25,37.62901306152344,83.52850341796875,122.86000061035156,54.2923469543457,107.69947814941406,87.02373504638672,148.31100463867188,100.8108139038086,19.80266761779785,53.22642517089844
2019-01-28,37.28077697753906,81.89450073242188,123.29000091552734,53.251773834228516,108.3377914428711,87.4361572265625,146.7782440185547,98.8448257446289,19.7586669921875,52.87017822265625
2019-01-29,36.894371032714844,79.69400024414062,123.9800033569336,52.78099822998047,109.4632568359375,87.6802749633789,143.5136260986328,96.83183288574219,19.83066749572754,53.07056427001953
2019-01-30,39.415531158447266,83.52149963378906,124.69000244140625,54.1963005065918,110.56351470947266,87.88226318359375,149.7144012451172,100.06771087646484,20.584667205810547,53.649444580078125
2019-01-31,39.699378967285156,85.9365005493164,124.75,55.555362701416016,111.7729721069336,87.1163330078125,165.9080810546875,98.23340606689453,20.468000411987305,54.3841552734375
2019-02-01,39.71846389770508,81.3115005493164,124.5,55.275691986083984,112.71363067626953,87.4361572265625,164.9326629638672,96.68131256103516,20.81399917602539,56.34341812133789
2019-02-04,40.84666442871094,81.66549682617188,123.95999908447266,56.37299346923828,111.6050033569336,87.74758911132812,168.4560546875,99.46569061279297,20.859333038330078,55.52705001831055
2019-02-05,41.54552459716797,82.94049835205078,124.27999877929688,57.02938461303711,111.6050033569336,87.36042022705078,170.3571014404297,100.85786437988281,21.42333221435547,56.09850311279297
2019-02-06,41.55984115600586,82.01300048828125,123.44000244140625,55.498634338378906,111.70574951171875,87.31832122802734,169.6902618408203,99.73849487304688,21.148000717163086,55.85359573364258
2019-02-07,40.77273178100586,80.71849822998047,123.73999786376953,54.6765251159668,110.90787506103516,86.17359924316406,165.5995330810547,99.02356719970703,20.500667572021484,55.42315673828125
2019-02-08,40.82062911987305,79.41100311279297,124.20999908447266,54.4948844909668,111.20182800292969,85.3150863647461,166.54505920410156,99.39983367919922,20.386667251586914,55.513206481933594
2019-02-11,40.58588409423828,79.55000305175781,123.5999984741211,54.49239730834961,110.86585998535156,84.91104125976562,165.01229858398438,99.00475311279297,20.856000900268555,55.603240966796875
2019-02-12,40.93561553955078,81.90049743652344,123.86000061035156,55.80418395996094,112.68006134033203,86.35877227783203,164.26580810546875,100.54744720458984,20.78733253479004,56.5787353515625
2019-02-13,40.76552963256836,82.0,123.37000274658203,55.74396896362305,112.92361450195312,86.7712173461914,163.30038452148438,100.47216796875,20.544666290283203,57.21656799316406
2019-02-14,40.9140625,81.13249969482422,124.05999755859375,55.81911849975586,112.80604553222656,86.20726013183594,163.18092346191406,100.55683898925781,20.251333236694336,57.2315673828125
